"SUBSECTION","BA_MEAN","VOLCFNET_MEAN","VOLBFNET_MEAN","COUNT_MEAN","DRYBIO_MEAN","CARBON_MEAN"
"M333Aa",77.3113678767545,1866.66693902048,9123.5938389485,390.73882513693,34.6204592578338,17.310229916669
"M333Ab",104.324745336424,2568.97061095612,12611.2039169379,447.216610959816,45.311459107981,22.6557297581404
"M333Ac",70.4945339480777,1764.95503433862,8837.04156069525,329.993187713966,31.7487160479702,15.8743581459971
"M333Ad",119.000349062905,3028.13230880009,14864.6646300321,513.637822131541,54.7702076327557,27.3851039574341
"M333Ae",62.3941084273441,1468.8823890599,7414.50555370109,280.118798777975,28.1721826143142,14.0860914626227
"M333Ag",77.4263453120294,1749.70405249445,8465.65527192264,385.259914562379,34.2008246472604,17.1004126320563
"M333Ah",25.9608993223758,549.370334417828,2710.98277965966,108.78048257052,10.7798055733359,5.3899029294399
"M333Ai",35.5811727083673,777.024992975268,3838.39156462329,207.234315792188,14.9214492188078,7.46072489315068
"M333Ba",112.863136380148,2793.95567606977,13578.7356448569,486.100235266809,50.2822615996666,25.1411309620983
"M333Bb",88.758672505483,1985.59279752111,9154.97163421747,498.279628406817,37.7848058397132,18.8924031490976
"M333Bc",38.4624806969692,850.336276235204,4010.92453094049,195.31301489083,16.4724959988237,8.23624812327218
"M333Ca",71.3283312220059,1575.77582653088,7233.23277822314,434.241452878719,28.1504693042621,14.0752345867806
"M333Cb",93.9860037545283,2059.05928150084,9388.74985507958,506.311287561425,36.205411113451,18.102705620578
"M333Cc",84.8540832750625,1941.77195042504,8758.4870359783,566.207957851539,35.5462271252727,17.7731134565208
"M333Ce",77.3779549490654,1525.6636326349,6345.43609279257,473.220479004573,27.1392510029624,13.5696255580203
"M333Cf",55.7400102794424,1075.87138088823,4719.32941175799,384.292482960211,18.7313343238912,9.3656673088995
"M333Cg",52.3669935099675,954.817156040796,3815.63263871091,338.243979927573,17.3432531585431,8.67162668381219
"M333Ch",62.4844220239564,1126.1653507341,4360.62208933105,391.495574201515,20.3214677721359,10.1607340546486
"M333Da",127.976422894135,3520.47744946469,18167.0092072996,463.135529007913,62.5842748756628,31.292137770628
"M333Db",122.963702281241,3227.5688020241,16481.1572014724,437.655065307739,56.9166583906793,28.4583294904259
"M333Dc",86.2021168899878,2024.14317938661,9838.66256953432,379.348250448784,37.6048810451541,18.8024406888509
"M333Dd",115.620191251392,3124.61553009924,15925.4773766826,467.75066343064,54.8063705190365,27.4031854899415
"M333De",122.919337563886,3222.06590397089,16316.0579673481,453.390453519659,55.8127580545705,27.90637920035
